family,outcome,window,unit,statistic,modality,comparator,rows,include_rows,usable_contrasts,independent_studies,verdict,studies
analgesic_proxies_and_nonopioid_rescue,Published 'fentanyl consumption' / PCIA solution volume,24 h,mL PCIA solution,Mean/SD,EA,Sham,2,2,2,1,NOT POOLED - only 1 independent study,Jin 2023
analgesic_proxies_and_nonopioid_rescue,Rescue IV dexketoprofen trometamol consumption,0-24 h,mg dexketoprofen,Mean/SD,MODALITY_REVIEW_REQUIRED,CONTROL_TYPE_REVIEW_REQUIRED,1,1,1,1,HOLD - comparator type needs adjudication,Oztas 2019
analgesic_proxies_and_nonopioid_rescue,Rescue IV dexketoprofen trometamol consumption,0-24 h,mg dexketoprofen,Mean/SD,MODALITY_REVIEW_REQUIRED,Usual care,1,1,1,1,HOLD - comparator type needs adjudication,Oztas 2019
analgesic_proxies_and_nonopioid_rescue,Rescue IV dexketoprofen trometamol consumption,24-48 h,mg dexketoprofen,Mean/SD,MODALITY_REVIEW_REQUIRED,CONTROL_TYPE_REVIEW_REQUIRED,1,1,1,1,HOLD - comparator type needs adjudication,Oztas 2019
analgesic_proxies_and_nonopioid_rescue,Rescue IV dexketoprofen trometamol consumption,24-48 h,mg dexketoprofen,Mean/SD,MODALITY_REVIEW_REQUIRED,Usual care,1,1,1,1,HOLD - comparator type needs adjudication,Oztas 2019
analgesic_proxies_and_nonopioid_rescue,Successful PCA deliveries,24 h,deliveries,Median/IQR,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
analgesic_proxies_and_nonopioid_rescue,Successful PCA deliveries,48 h after surgery,PCA deliveries,Median/range,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
analgesic_proxies_and_nonopioid_rescue,Successful PCA deliveries,72 h after surgery,PCA deliveries,Median/range,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
analgesic_proxies_and_nonopioid_rescue,Supplemental flurbiprofen axetil requirement,Within 48 h,11.0% intervention vs 23.3% SSS,Published percentage,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
analgesic_proxies_and_nonopioid_rescue,Supplemental flurbiprofen axetil requirement,Within 48 h,15.4% intervention vs 23.3% SSS,Published percentage,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
analgesic_proxies_and_nonopioid_rescue,Supplemental flurbiprofen axetil requirement,Within 48 h,7.9% intervention vs 23.3% SSS,Published percentage,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
analgesic_proxies_and_nonopioid_rescue,Total PCIA button presses,Postoperative; exact pump duration NR,presses,Mean/SD,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Zheng 2025
analgesic_proxies_and_nonopioid_rescue,Total rescue analgesia,First 24 h,tramadol 50 mg IV then morphine 2 mg IV as needed,Qualitative / exact quantities unavailable,EA,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
analgesic_proxies_and_nonopioid_rescue,Use of additional analgesic,Postoperative,participants,Events/total,EA,Usual care,1,1,1,1,NOT POOLED - only 1 independent study,Huang 2025
functional_recovery_and_other,AIS score,First night before surgery after preoperative stimulation,AIS points,Mean/SD,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,1,1,1,1,HOLD - comparator type needs adjudication,Song 2020
functional_recovery_and_other,AIS score,First postoperative night,AIS points,Mean/SD,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,1,1,1,1,HOLD - comparator type needs adjudication,Song 2020
functional_recovery_and_other,AIS score,Third postoperative night,AIS points,Mean/SD,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,1,1,1,1,HOLD - comparator type needs adjudication,Song 2020
functional_recovery_and_other,Analgesia satisfaction score,By 24 h after surgery,satisfaction score; scale range not stated in retrieved table text,Mean/SD,TEAS,Sham,2,0,0,0,NOT POOLED - only 0 independent study,
functional_recovery_and_other,Athens Insomnia Scale,POD1,AIS points,Graph-only continuous data,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,1,0,0,0,HOLD - comparator type needs adjudication,
functional_recovery_and_other,Extubation time,Immediate postoperative recovery,minutes,Mean/SD,EA,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Long 2025
functional_recovery_and_other,Extubation time,Immediate postoperative recovery,minutes,Mean/SD,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Liu 2015
functional_recovery_and_other,Extubation time,Postoperative,minutes,Mean/SD,TEAS,Sham,3,3,3,1,NOT POOLED - only 1 independent study,Sun 2017
functional_recovery_and_other,Eye-opening time,Immediate postoperative recovery,minutes,Mean/SD,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Liu 2015
functional_recovery_and_other,First postoperative implantation activity time,Postoperative,minutes,Median/IQR,TEAS,Usual care,1,0,0,0,NOT POOLED - only 0 independent study,
functional_recovery_and_other,Hospital cost,Hospitalization,Chinese yuan,Median/IQR,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
functional_recovery_and_other,Length of stay in PACU,Postoperative,minutes,Mean/SD,TEAS,Sham,3,3,3,1,NOT POOLED - only 1 independent study,Sun 2017
functional_recovery_and_other,Moderately satisfied,36 h postoperatively,participants,Events/total,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Gu 2019
functional_recovery_and_other,Not satisfied,36 h postoperatively,participants,Events/total,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Gu 2019
functional_recovery_and_other,PACU Aldrete score,PACU,Aldrete points,Mean/SD,TEAS,Usual care,1,1,1,1,NOT POOLED - only 1 independent study,Pan 2023
functional_recovery_and_other,PACU analgesic requirement in women-only subgroup,PACU,mg morphine-equivalent,Graph-only morphine-equivalent outcome,EA,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
functional_recovery_and_other,PACU retention time,PACU,minutes,Mean/SD,TEAS,Usual care,1,1,1,1,NOT POOLED - only 1 independent study,Pan 2023
functional_recovery_and_other,PACU stay time,Postoperative,minutes,Mean/SD,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Zheng 2025
functional_recovery_and_other,PSQI and AIS postoperative sleep quality,POD1,PSQI/AIS points,Graph-only continuous data,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
functional_recovery_and_other,PSQI and AIS postoperative sleep quality,POD3,PSQI and AIS scores,Graph only,TEAS,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
functional_recovery_and_other,PSQI score,24 h,PSQI points,Mean/SD,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Zheng 2025
