model_id,field,python,metafor,absolute_difference,tolerance,pass_check
nausea24_EA_usual,N,237,237,0.0,0.000247,True
nausea24_EA_usual,effect,-0.4152211920968613,-0.415221190805697,1.2911642865987005e-09,1.0415221192096863e-05,True
nausea24_EA_usual,se,0.19063604171384457,0.19063604267738,9.635354181192213e-10,1.0190636041713846e-05,True
nausea24_EA_usual,ci_low,-2.83748176820691,-2.83748177915862,1.0951710205375775e-08,1.2837481768206911e-05,True
nausea24_EA_usual,ci_high,2.0070393840131873,2.00703939754723,1.3534042775376065e-08,1.2007039384013188e-05,True
nausea24_EA_usual,p,0.2740085126572962,0.274008514628059,1.970762775194146e-09,1.0274008512657296e-05,True
nausea24_EA_usual,tau2,0.0010378628978618592,0.00103786392490672,1.0270448608327293e-09,1.0001037862897863e-05,True
nausea24_EA_usual,I2,0.9171514344465377,0.917152333714153,8.992676152619339e-07,1.0917151434446538e-05,True
vomiting24_EA_usual,k,2,2,0.0,1.2e-05,True
vomiting24_EA_usual,N,237,237,0.0,0.000247,True
vomiting24_EA_usual,effect,-0.6359326387446907,-0.635932638744691,2.220446049250313e-16,1.0635932638744691e-05,True
vomiting24_EA_usual,se,0.27158595831778365,0.271585958317784,3.3306690738754696e-16,1.0271585958317785e-05,True
vomiting24_EA_usual,ci_low,-4.086759428600656,-4.08675942860066,3.552713678800501e-15,1.4086759428600657e-05,True
vomiting24_EA_usual,ci_high,2.814894151111275,2.81489415111128,5.329070518200751e-15,1.2814894151111276e-05,True
vomiting24_EA_usual,p,0.25695264011287466,0.256952640112875,3.3306690738754696e-16,1.0256952640112875e-05,True
vomiting24_EA_usual,tau2,0.0,0,0.0,1e-05,True
vomiting24_EA_usual,I2,0.0,0,0.0,1e-05,True
nausea24_TEAS_sham,k,3,3,0.0,1.3000000000000001e-05,True
nausea24_TEAS_sham,N,735,735,0.0,0.000745,True
nausea24_TEAS_sham,effect,-0.4033001266550238,-0.403300126440289,2.1473478550859681e-10,1.0403300126655025e-05,True
nausea24_TEAS_sham,se,0.19608584931103742,0.196085849428208,1.171705787950117e-10,1.0196085849311038e-05,True
nausea24_TEAS_sham,ci_low,-1.2469894414584006,-1.24698944174781,2.89409385345607e-10,1.1246989441458401e-05,True
nausea24_TEAS_sham,ci_high,0.44038918814835304,0.440389188867233,7.188799555635228e-10,1.0440389188148355e-05,True
nausea24_TEAS_sham,p,0.17599473376949437,0.175994734068398,2.9890362407414273e-10,1.0175994733769495e-05,True
nausea24_TEAS_sham,tau2,0.030795224647651845,0.0307952248770099,2.293580568524245e-10,1.0030795224647653e-05,True
nausea24_TEAS_sham,I2,35.120396822565276,35.1203969922717,1.6970642491287435e-07,4.5120396822565274e-05,True
vomiting24_TEAS_sham,k,5,5,0.0,1.5e-05,True
vomiting24_TEAS_sham,N,2495,2495,0.0,0.002505,True
vomiting24_TEAS_sham,effect,-0.4417911443127986,-0.441791144393136,8.033740339641326e-11,1.0441791144312799e-05,True
vomiting24_TEAS_sham,se,0.1745554195576354,0.174555419301308,2.5632740374703644e-10,1.0174555419557636e-05,True
vomiting24_TEAS_sham,ci_low,-0.9264346845293425,-0.926434683898002,6.313405354063661e-10,1.0926434684529343e-05,True
vomiting24_TEAS_sham,ci_high,0.0428523959037454,0.0428523951117303,7.92015099337906e-10,1.0042852395903745e-05,True
vomiting24_TEAS_sham,p,0.06459930112002074,0.0645993008330229,2.869978421582431e-10,1.0064599301120022e-05,True
vomiting24_TEAS_sham,tau2,0.05374684186142255,0.0537468409517964,9.0962614524015e-10,1.0053746841861424e-05,True
vomiting24_TEAS_sham,I2,42.86899938774655,42.868998973246,4.1450054766301037e-07,5.2868999387746545e-05,True
vomiting24_TEAS_sham,pi_low,-1.24751740988866,-1.24751740518958,4.6990797919477245e-09,1.124751740988866e-05,True
vomiting24_TEAS_sham,pi_high,0.36393512126306266,0.363935116403306,4.859756652653147e-09,1.0363935121263063e-05,True
persistent_nausea24_TEAS_sham,k,1,1,0.0,1.1000000000000001e-05,True
persistent_nausea24_TEAS_sham,N,1655,1655,0.0,0.001665,True
